fight_id,order,text
earn,1,"We brokered the largest school worker strike settlement in U.S. history. 30,000 LAUSD employees went from $25,000 to $33,000 in average salary. When working people earn more, families stay housed."
earn,2,"By 2028, every hotel worker and airport employee in Los Angeles earns at least $30 an hour. I signed that law. Tourism should not be a poverty industry in our city."
earn,3,"We have 14 WorkSource Centers across Los Angeles offering free career counseling, job training, and placement. If you are looking for work or looking for better work, there is a center near you, at no cost."
build,1,"Since I took office, we have approved over 31,000 affordable units under Executive Directive 1. Los Angeles underbuilt for 50 years. We are catching up."
build,2,"Over $300 million in voter-approved ULA funding is actively going toward affordable housing construction right now. Not projected. Moving."
build,3,"We reformed the Adaptive Reuse process so vacant office buildings can become homes. The permitting is faster, the conversion is cheaper, and the units are coming online."
save,1,"Because Los Angeles owns its power grid through LADWP, 4 million residents pay less for electricity than most of the rest of LA County. That is what public ownership does for working families."
save,2,"If your family qualifies, you can claim up to $11,000 in EITC and CalEITC tax credits. We have free tax preparation sites across the city to help you claim every dollar you are owed. Billions go unclaimed every year. That money belongs to you."
save,3,"$41.5 million goes back to low-income seniors and disabled residents every year through the Lifeline Reimbursement Program. If you or someone you know qualifies, we want to make sure you are enrolled."
care,1,"We have 19 FamilySource Centers serving 50,000 households a year with case management, legal aid, job coaching, and benefits access. These centers are free, they are in your neighborhood, and most people who need them do not know they exist."
care,2,"Homelessness in Los Angeles declined two consecutive years under my administration. That has not happened in recent city history. Inside Safe is our housing-first strategy and the numbers bear it out."
care,3,"Youth Service Corps, Summer Lunch, PlayLA, SwimLA. We built and expanded programs so young Angelenos stay connected, employed, and safe when school is out. These programs are real, they are available, and we are expanding them."
protect,1,"I signed the first overhaul of the Rent Stabilization Ordinance in nearly 40 years. Your annual rent increase is now capped at 1 to 4 percent. That protection is permanent."
protect,2,"Through the ULA Right to Counsel program, if you are a tenant facing eviction, you can get free legal representation in court. $57 million funds that program. You do not have to face a landlord's attorney alone."
protect,3,"The Tenant Anti-Harassment Ordinance protects you from intimidation and pressure tactics designed to push you out of your rent-stabilized home. It is enforceable. If your landlord is doing this to you, there are resources and we will use them."
